DungeonCrawler,Dungeon Crawler,Earn 100 XP
DungeonExplorer,Dungeon Explorer,Earn 1000 XP
DungeonParagon,Dungeon Paragon,Earn 10000 XP
FirstBlood,First Blood,Kill your first enemy
GottaKillEmAll,Gotta Kill 'em All,Kill 10 types of enemy
Rookie,Rookie,Kill a tier 1 boss
Adventurer,Adventurer,Kill a tier 1 boss 10 times
JobDone,Job Done,Kill a tier 2 boss
JackOfAllTrades,Jack of All Trades,Kill a tier 2 boss with all 3 classes
LikeABoss,Like a Boss,Kill 6 different bosses
WeCouldHaveBeenFriends,We could have been friends!,Defeat the Assassin as the Ranger
YerrAWizardHarry,Yerr a Wizard Harry!,Defeat the Dungeon Master as the Wizard
Scrounger,Scrounger,Accumulate 10 SOL of loot
Scavenger,Scavenger,Accumulate 100 SOL of loot
Unlucky,Unlucky,Suffer a 3x losing streak
Cursed,Cursed,Suffer a 6x losing streak
TableThrow,(╯°□°）╯︵ ┻━┻,Suffer a 10x losing streak
Cautious,Cautious,Escape level 1 10 times
Coward,Coward,Escape level 1 100 times
DailyDungeonI,Daily Dungeon I,Enter the Dungeon on 5 consecutive days
DailyDungeonII,Daily Dungeon II,Enter the Dungeon on 20 consecutive days
DailyDungeonIII,Daily Dungeon III,Enter the Dungeon on 100 consectutive days
OnceYouPop,Once you pop..,Play 100 rounds in a day
Spoderman,Spoderman,Be defeated by Spiders 100 times
YouShallNotPass,You shall not pass!,Be defeated by a Boss 50 times
